학년도,시도,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단율,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학업중단자,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수
학년도,시도,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,계,초등학교,중학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교,고등학교
학년도,시도,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,일반계고,전문계고,일반고,특목고,특성화고,자율고,계,초등학교,중학교,계,인문계고,전문계고,일반고,특목고,특성화고,자율고
2003,인천,0.9,0.8,0.5,1.4,0.8,2.9,0,0,0,0,3968,1980,555,1433,526,907,0,0,0,0,455572,247046,109493,99033,67723,31310,0,0,0,0
2004,인천,0.6,0.4,0.7,1.2,0.8,2.2,0,0,0,0,2921,855,856,1210,569,641,0,0,0,0,451730,238650,114670,98410,69291,29119,0,0,0,0
2005,인천,0.7,0.5,0.8,1.3,0.9,2.2,0,0,0,0,3229,1041,933,1255,643,612,0,0,0,0,449663,230067,119834,99762,71397,28365,0,0,0,0
2006,인천,0.8,0.6,0.8,1.4,0.9,2.8,0,0,0,0,3676,1300,926,1450,667,783,0,0,0,0,447177,222154,123135,101888,73911,27977,0,0,0,0
2007,인천,0.9,0.4,0.9,1.8,1.3,3.5,0,0,0,0,4043,966,1107,1970,989,981,0,0,0,0,443036,214671,121864,106501,78812,27689,0,0,0,0
2008,인천,1,0.4,1.1,1.8,1.2,3.8,0,0,0,0,4153,856,1252,2045,1057,988,0,0,0,0,436177,205781,118916,111480,85202,26278,0,0,0,0
2009,인천,0.9,0.3,0.8,1.8,1.4,3.5,0,0,0,0,3664,579,974,2111,1204,907,0,0,0,0,422790,193210,115198,114382,88745,25637,0,0,0,0
2010,인천,1,0.5,1,1.9,0,0,0,0,0,0,4180,843,1138,2199,0,0,1252,80,858,9,408650,183261,112142,113247,88776,24471,0,0,0,0
2011,인천,1,0.5,1,1.8,0,0,1.4,1.4,2.9,7.6,3810,812,1058,1940,0,0,1132,47,667,94,391241,173598,107234,110409,0,0,83164,3370,22642,1233
2012,인천,0.9,0.4,0.9,1.6,0,0,1.4,1.7,2.3,1.9,3328,720,890,1718,0,0,1083,63,486,86,376113,164928,103593,107592,0,0,78054,3708,21356,4474
2013,인천,0.8,0.5,0.7,1.5,0,0,1.3,0.8,2.3,1.4,3035,724,743,1568,0,0,962,35,494,77,364004,157918,100776,105310,0,0,74064,4247,21308,5691
2014,인천,0.7,0.4,0.6,1.3,0,0,1,0.9,2.3,1.1,2485,620,559,1306,0,0,725,36,487,58,354743,156740,96490,101513,0,0,70605,3965,21433,5510
2015,인천,0.7,0.5,0.5,1.1,0,0,0.8,0.9,2.1,0.8,2266,709,481,1076,0,0,542,35,456,43,345200,157099,89337,98764,0,0,67867,3767,21527,5603
2016,인천,0.7,0.4,0.6,1.3,0,0,0.9,0.9,2.6,0.9,2346,636,476,1234,0,0,606,35,538,55,335022,155590,82893,96539,0,0,66037,3860,20841,5801
2017,인천,0.7,0.5,0.7,1.3,0,0,1,0.9,2.3,0.8,2441,737,516,1188,0,0,648,36,456,48,327491,156470,78826,92195,0,0,62937,3902,19577,5779
2018,인천,0.8,0.5,0.7,1.6,0,0,1.2,0.8,3.2,0.9,2701,811,566,1324,0,0,680,32,561,51,320352,158871,76565,84916,0,0,57704,3916,17788,5508
2019,인천,0.9,0.6,0.7,1.6,0,0,1.2,1.1,3.2,1,2690,932,523,1235,0,0,638,41,503,53,313712,160853,74458,78401,0,0,53294,3865,15904,5338
1999,광주,1,0.2,0.9,2.3,1,4.9,0,0,0,0,2548,239,564,1745,528,1217,0,0,0,0,257298,121810,60140,75348,50671,24677,0,0,0,0
2000,광주,1,0.3,0.9,2.4,1.5,4.5,0,0,0,0,2668,434,553,1681,689,992,0,0,0,0,254330,126820,58783,68727,46736,21991,0,0,0,0
2001,광주,0.9,0.3,1,2.1,1.5,3.5,0,0,0,0,2262,339,604,1319,648,671,0,0,0,0,252501,131416,58350,62735,43398,19337,0,0,0,0
2002,광주,0.8,0.3,0.7,2,1.4,3.6,0,0,0,0,1992,412,402,1178,569,609,0,0,0,0,253850,135584,59823,58443,41347,17096,0,0,0,0
2003,광주,0.8,0.5,0.5,1.7,1,3.7,0,0,0,0,2019,704,329,986,403,583,0,0,0,0,257353,138644,61201,57508,41613,15895,0,0,0,0
2004,광주,0.6,0.3,0.5,1.5,1,3.1,0,0,0,0,1606,369,355,882,416,466,0,0,0,0,260297,138670,64660,56967,41740,15227,0,0,0,0
2005,광주,0.6,0.2,0.6,1.4,0.8,2.9,0,0,0,0,1476,285,397,794,346,448,0,0,0,0,262302,136309,67938,58055,42843,15212,0,0,0,0
2006,광주,0.7,0.3,0.7,1.7,1.2,3.1,0,0,0,0,1929,458,480,991,512,479,0,0,0,0,263815,134192,70639,58984,43691,15293,0,0,0,0
2007,광주,0.8,0.3,0.7,2.1,1.3,4.5,0,0,0,0,2246,446,496,1304,599,705,0,0,0,0,265398,132619,71033,61746,46071,15675,0,0,0,0
2008,광주,0.8,0.3,0.7,2.1,1.2,4.9,0,0,0,0,2199,323,506,1370,608,762,0,0,0,0,263209,127758,71092,64359,48714,15645,0,0,0,0
2009,광주,0.8,0.2,0.6,2,1.2,4.7,0,0,0,0,2062,271,418,1373,642,731,0,0,0,0,259150,121590,70471,67089,51470,15619,0,0,0,0
